Date,Close,Predictions
2021-02-18,129.7100067138672,128.50443
2021-02-19,129.8699951171875,127.71689
2021-02-22,126.0,126.92812
2021-02-23,125.86000061035156,125.84742
2021-02-24,125.3499984741211,124.73015
2021-02-25,120.98999786376953,123.66066
2021-02-26,121.26000213623047,122.31229
2021-03-01,127.79000091552734,121.001465
2021-03-02,125.12000274658203,120.474495
2021-03-03,122.05999755859375,120.14242
2021-03-04,120.12999725341797,119.67259
2021-03-05,121.41999816894531,119.00065
2021-03-08,116.36000061035156,118.41592
2021-03-09,121.08999633789062,117.4416
2021-03-10,119.9800033569336,116.83364
2021-03-11,121.95999908447266,116.3567
2021-03-12,121.02999877929688,116.19905
2021-03-15,123.98999786376953,116.13205
2021-03-16,125.56999969482422,116.41007
2021-03-17,124.76000213623047,116.98338
2021-03-18,120.52999877929688,117.57064
2021-03-19,119.98999786376953,117.69563
2021-03-22,123.38999938964844,117.51767
2021-03-23,122.54000091552734,117.51787
2021-03-24,120.08999633789062,117.516525
2021-03-25,120.58999633789062,117.28466
2021-03-26,121.20999908447266,117.01057
2021-03-29,121.38999938964844,116.79829
2021-03-30,119.9000015258789,116.65748
2021-03-31,122.1500015258789,116.42704
2021-04-01,123.0,116.395966
2021-04-05,125.9000015258789,116.54821
2021-04-06,126.20999908447266,117.062256
2021-04-07,127.9000015258789,117.73702
2021-04-08,130.36000061035156,118.59088
2021-04-09,133.0,119.68092
2021-04-12,131.24000549316406,121.02753
2021-04-13,134.42999267578125,122.187035
2021-04-14,132.02999877929688,123.438995
2021-04-15,134.5,124.3565
2021-04-16,134.16000366210938,125.2474
2021-04-19,134.83999633789062,125.98241
2021-04-20,133.11000061035156,126.6252
2021-04-21,133.5,126.980194
2021-04-22,131.94000244140625,127.191154
2021-04-23,134.32000732421875,127.149925
2021-04-26,134.72000122070312,127.21863
2021-04-27,134.38999938964844,127.36867
2021-04-28,133.5800018310547,127.518166
2021-04-29,133.47999572753906,127.57799
