Date,Close,Predictions
2021-02-18,243.7899932861328,254.22401
2021-02-19,240.97000122070312,254.48047
2021-02-22,234.50999450683594,254.38445
2021-02-23,233.27000427246094,253.53638
2021-02-24,234.5500030517578,252.27191
2021-02-25,228.99000549316406,250.99524
2021-02-26,232.3800048828125,249.30113
2021-03-01,236.94000244140625,247.86049
2021-03-02,233.8699951171875,247.06209
2021-03-03,227.55999755859375,246.38235
2021-03-04,226.72999572753906,245.2865
2021-03-05,231.60000610351562,244.02065
2021-03-08,227.38999938964844,243.20444
2021-03-09,233.77999877929688,242.29167
2021-03-10,232.4199981689453,242.01164
2021-03-11,237.1300048828125,241.94092
2021-03-12,235.75,242.43526
2021-03-15,234.80999755859375,243.0501
2021-03-16,237.7100067138672,243.6128
2021-03-17,237.0399932861328,244.36937
2021-03-18,230.72000122070312,245.0898
2021-03-19,230.35000610351562,245.16676
2021-03-22,235.99000549316406,244.8888
2021-03-23,237.5800018310547,244.93895
2021-03-24,235.4600067138672,245.26738
2021-03-25,232.33999633789062,245.52518
2021-03-26,236.47999572753906,245.45874
2021-03-29,235.24000549316406,245.61143
2021-03-30,231.85000610351562,245.72852
2021-03-31,235.77000427246094,245.52151
2021-04-01,242.35000610351562,245.52792
2021-04-05,249.07000732421875,246.21506
2021-04-06,247.86000061035156,247.7879
2021-04-07,249.89999389648438,249.57428
2021-04-08,253.25,251.53368
2021-04-09,255.85000610351562,253.71556
2021-04-12,255.91000366210938,256.05023
2021-04-13,258.489990234375,258.2618
2021-04-14,255.58999633789062,260.45337
2021-04-15,259.5,262.16525
2021-04-16,260.739990234375,263.84262
2021-04-19,258.739990234375,265.43448
2021-04-20,258.260009765625,266.65326
2021-04-21,260.5799865722656,267.53403
2021-04-22,257.1700134277344,268.3618
2021-04-23,261.1499938964844,268.7588
2021-04-26,261.54998779296875,269.2704
2021-04-27,261.9700012207031,269.80014
2021-04-28,254.55999755859375,270.33136
2021-04-29,252.50999450683594,270.1456
2021-04-30,252.17999267578125,269.45425
2021-05-03,251.86000061035156,268.51797
2021-05-04,247.7899932861328,267.49103
2021-05-05,246.47000122070312,266.1311
2021-05-06,249.72999572753906,264.6121
2021-05-07,252.4600067138672,263.4318
2021-05-10,247.17999267578125,262.75662
2021-05-11,246.22999572753906,261.92465
2021-05-12,239.0,261.03766
2021-05-13,243.02999877929688,259.54694
2021-05-14,248.14999389648438,258.26398
2021-05-17,245.17999267578125,257.62686
2021-05-18,243.0800018310547,257.09775
2021-05-19,243.1199951171875,256.51447
2021-05-20,246.47999572753906,255.97087
2021-05-21,245.1699981689453,255.79727
2021-05-24,250.77999877929688,255.70116
2021-05-25,251.72000122070312,256.17764
2021-05-26,251.49000549316406,256.9766
2021-05-27,249.30999755859375,257.86743
2021-05-28,249.67999267578125,258.54352
2021-06-01,247.39999389648438,259.095
2021-06-02,247.3000030517578,259.3194
2021-06-03,245.7100067138672,259.35013
2021-06-04,250.7899932861328,259.12338
2021-06-07,253.80999755859375,259.24088
2021-06-08,252.57000732421875,259.77002
2021-06-09,253.58999633789062,260.35248
2021-06-10,257.239990234375,261.02258
2021-06-11,257.8900146484375,262.0078
2021-06-14,259.8900146484375,263.11655
2021-06-15,258.3599853515625,264.38034
2021-06-16,257.3800048828125,265.47116
2021-06-17,260.8999938964844,266.2999
2021-06-18,259.42999267578125,267.2375
2021-06-21,262.6300048828125,267.99176
2021-06-22,265.510009765625,268.8834
2021-06-23,265.2699890136719,270.0078
2021-06-24,266.69000244140625,271.12262
2021-06-25,265.0199890136719,272.2712
2021-06-28,268.7200012207031,273.17865
2021-06-29,271.3999938964844,274.22488
2021-06-30,270.8999938964844,275.46744
2021-07-01,271.6000061035156,276.64725
2021-07-02,277.6499938964844,277.76257
2021-07-06,277.6600036621094,279.2878
2021-07-07,279.92999267578125,280.85767
2021-07-08,277.4200134277344,282.52917
2021-07-09,277.94000244140625,283.86856
2021-07-12,277.32000732421875,284.9817
2021-07-13,280.9800109863281,285.8106
2021-07-14,282.510009765625,286.74554
2021-07-15,281.0299987792969,287.76065
2021-07-16,280.75,288.5873
2021-07-19,277.010009765625,289.22913
2021-07-20,279.32000732421875,289.37692
2021-07-21,281.3999938964844,289.4803
2021-07-22,286.1400146484375,289.70996
2021-07-23,289.6700134277344,290.39764
2021-07-26,289.04998779296875,291.55563
2021-07-27,286.5400085449219,292.79132
2021-07-28,286.2200012207031,293.75018
2021-07-29,286.5,294.4712
2021-07-30,284.9100036621094,295.02484
2021-08-02,284.82000732421875,295.2901
2021-08-03,287.1199951171875,295.37885
2021-08-04,286.510009765625,295.56708
2021-08-05,289.5199890136719,295.71454
2021-08-06,289.4599914550781,296.10547
2021-08-09,288.3299865722656,296.56223
2021-08-10,286.44000244140625,296.91837
2021-08-11,286.95001220703125,297.03015
2021-08-12,289.80999755859375,297.06085
2021-08-13,292.8500061035156,297.29398
2021-08-16,294.6000061035156,297.8641
2021-08-17,293.0799865722656,298.70224
2021-08-18,290.7300109863281,299.467
2021-08-19,296.7699890136719,299.93292
2021-08-20,304.3599853515625,300.7614
2021-08-23,304.6499938964844,302.3393
2021-08-24,302.6199951171875,304.14996
2021-08-25,302.010009765625,305.75735
2021-08-26,299.0899963378906,307.0842
2021-08-27,299.7200012207031,307.8845
2021-08-30,303.5899963378906,308.41022
2021-08-31,301.8800048828125,309.07495
2021-09-01,301.8299865722656,309.56168
2021-09-02,301.1499938964844,309.92377
